timestamp,average,minimum,maximum
2023-09-18T07:47:00.000Z,92.532,91.45,94.74
2023-09-18T07:52:00.000Z,92.624,91.58,94.42
2023-09-18T07:57:00.000Z,92.682,91.51,94.3
2023-09-18T08:02:00.000Z,92.52,91.54,93.81
2023-09-18T06:47:00.000Z,92.646,91.79,94.26
2023-09-18T06:52:00.000Z,92.72,91.39,95.58
2023-09-18T06:57:00.000Z,92.516,91.21,94.05
2023-09-18T07:02:00.000Z,93.03,92.08,95.57
2023-09-18T07:07:00.000Z,92.554,91.7,95.53
2023-09-18T07:12:00.000Z,92.833,91.27,95.11
2023-09-18T07:17:00.000Z,92.398,91.01,93.9
2023-09-18T07:22:00.000Z,92.832,91.49,94.95
2023-09-18T07:27:00.000Z,92.172,91.36,92.99
2023-09-18T07:32:00.000Z,92.445,91.35,95.6
2023-09-18T07:37:00.000Z,92.68,91,95.35
2023-09-18T07:42:00.000Z,92.506,91.34,95.42
2023-09-18T05:47:00.000Z,92.592,91.29,95.63
2023-09-18T05:52:00.000Z,92.542,91.36,96.32
2023-09-18T05:57:00.000Z,92.836,91.77,95.26
2023-09-18T06:02:00.000Z,92.433,91.34,95.75
2023-09-18T06:07:00.000Z,92.602,90.45,94.22
2023-09-18T06:12:00.000Z,92.292,90.83,93.95
2023-09-18T06:17:00.000Z,92.487,91.35,95.83
2023-09-18T06:22:00.000Z,92.714,91.34,95.55
2023-09-18T06:27:00.000Z,92.287,91.83,93.19
2023-09-18T06:32:00.000Z,92.78,91.18,96.11
2023-09-18T06:37:00.000Z,92.751,91.5,95.49
2023-09-18T06:42:00.000Z,92.566,91.21,96.28
2023-09-18T04:47:00.000Z,92.933,91.7,95.89
2023-09-18T04:52:00.000Z,92.683,91.61,95.64
2023-09-18T04:57:00.000Z,92.725,91.55,96
2023-09-18T05:02:00.000Z,92.796,91.6,94.69
2023-09-18T05:07:00.000Z,92.709,91.31,95.17
2023-09-18T05:12:00.000Z,92.692,91.3,94.53
2023-09-18T05:17:00.000Z,92.614,90.92,95.6
2023-09-18T05:22:00.000Z,92.642,91.02,96.05
2023-09-18T05:27:00.000Z,92.006,90.82,92.91
2023-09-18T05:32:00.000Z,92.477,91.26,95.32
2023-09-18T05:37:00.000Z,92.511,91.33,95.88
2023-09-18T05:42:00.000Z,92.477,91.19,94.23
2023-09-18T03:46:00.000Z,92.537,91.73,95.8
2023-09-18T03:52:00.000Z,92.349,91.47,94.76
2023-09-18T03:57:00.000Z,92.799,92.04,93.79
2023-09-18T04:02:00.000Z,92.665,91.94,94.5
2023-09-18T04:07:00.000Z,92.636,91.75,95.05
2023-09-18T04:12:00.000Z,92.969,91.87,95.55
2023-09-18T04:17:00.000Z,92.73,91.83,95.15
2023-09-18T04:22:00.000Z,92.602,91.48,94.06
2023-09-18T04:27:00.000Z,92.605,91.79,94.42
2023-09-18T04:32:00.000Z,92.606,91.22,94.88
2023-09-18T04:37:00.000Z,92.689,91.71,95.09
2023-09-18T04:42:00.000Z,92.578,91.19,96.18
2023-09-18T02:46:00.000Z,92.522,90.88,95.23
2023-09-18T02:51:00.000Z,92.725,91.81,95.68
2023-09-18T02:56:00.000Z,92.471,91.53,95.09
2023-09-18T03:01:00.000Z,92.814,91.56,95.49
2023-09-18T03:06:00.000Z,92.722,91.67,95.74
2023-09-18T03:11:00.000Z,92.506,91.6,95.53
2023-09-18T03:16:00.000Z,92.51,91.59,93.51
2023-09-18T03:21:00.000Z,92.499,91.4,95.01
2023-09-18T03:26:00.000Z,92.641,91.85,94.1
2023-09-18T03:31:00.000Z,92.79,91.53,94.81
2023-09-18T03:36:00.000Z,92.581,91.48,94.66
2023-09-18T03:41:00.000Z,92.834,91.88,95.72
2023-09-18T01:46:00.000Z,92.583,91.86,93.92
2023-09-18T01:51:00.000Z,92.529,91.3,94.4
