timestamp,average,minimum,maximum
2023-09-18T08:38:00.000Z,20.468,1.94,80.19
2023-09-18T08:43:00.000Z,5.908,2.52,23.42
2023-09-18T08:48:00.000Z,2.628,2.4,2.99
2023-09-18T08:53:00.000Z,2.823,2.55,3.09
2023-09-18T08:58:00.000Z,2.815,2.56,2.99
2023-09-18T07:38:00.000Z,1.574,1.39,1.77
2023-09-18T07:43:00.000Z,1.531,1.37,1.67
2023-09-18T07:48:00.000Z,1.496,1.24,1.65
2023-09-18T07:53:00.000Z,1.68,1.51,1.94
2023-09-18T07:58:00.000Z,1.601,1.46,1.78
2023-09-18T08:03:00.000Z,1.664,1.45,1.83
2023-09-18T08:08:00.000Z,1.678,1.41,1.96
2023-09-18T08:13:00.000Z,1.687,1.5,1.91
2023-09-18T08:18:00.000Z,1.611,1.42,1.81
2023-09-18T08:23:00.000Z,6.32,1.34,41.75
2023-09-18T08:28:00.000Z,1.941,1.75,2.27
2023-09-18T08:33:00.000Z,2.035,1.9,2.23
2023-09-18T06:38:00.000Z,1.526,1.35,1.81
2023-09-18T06:43:00.000Z,1.49,1.36,1.7
2023-09-18T06:48:00.000Z,1.527,1.38,1.68
2023-09-18T06:53:00.000Z,1.562,1.38,1.81
2023-09-18T06:58:00.000Z,2.144,1.32,8.97
2023-09-18T07:03:00.000Z,1.5,1.25,1.72
2023-09-18T07:08:00.000Z,1.567,1.42,1.8
2023-09-18T07:13:00.000Z,1.461,1.35,1.66
2023-09-18T07:18:00.000Z,1.462,1.31,1.69
2023-09-18T07:23:00.000Z,1.546,1.46,1.68
2023-09-18T07:28:00.000Z,1.575,1.37,1.78
2023-09-18T07:33:00.000Z,1.58,1.35,2.06
2023-09-18T05:38:00.000Z,1.622,1.39,1.78
2023-09-18T05:43:00.000Z,1.656,1.53,1.86
2023-09-18T05:48:00.000Z,1.625,1.45,1.82
2023-09-18T05:53:00.000Z,1.819,1.59,2.45
2023-09-18T05:58:00.000Z,1.606,1.46,1.8
2023-09-18T06:03:00.000Z,1.695,1.56,1.83
2023-09-18T06:08:00.000Z,1.741,1.33,3.07
2023-09-18T06:13:00.000Z,1.724,1.55,1.91
2023-09-18T06:18:00.000Z,6.318,1.44,43.51
2023-09-18T06:23:00.000Z,2.277,1.49,3.46
2023-09-18T06:28:00.000Z,1.609,1.42,1.79
2023-09-18T06:33:00.000Z,1.581,1.41,1.75
2023-09-18T04:37:00.000Z,1.606,1.32,1.89
2023-09-18T04:42:00.000Z,1.58,1.31,1.8
2023-09-18T04:47:00.000Z,1.604,1.43,1.93
2023-09-18T04:52:00.000Z,1.666,1.42,1.9
2023-09-18T04:57:00.000Z,1.607,1.44,1.77
2023-09-18T05:03:00.000Z,1.664,1.52,1.76
2023-09-18T05:08:00.000Z,1.527,1.39,1.65
2023-09-18T05:13:00.000Z,1.498,1.39,1.64
2023-09-18T05:18:00.000Z,1.558,1.38,1.76
2023-09-18T05:23:00.000Z,1.56,1.44,1.66
2023-09-18T05:28:00.000Z,1.669,1.47,1.83
2023-09-18T05:33:00.000Z,1.636,1.48,1.98
2023-09-18T03:37:00.000Z,1.668,1.45,2.08
2023-09-18T03:42:00.000Z,1.69,1.56,1.8
2023-09-18T03:47:00.000Z,1.654,1.47,1.85
2023-09-18T03:52:00.000Z,1.633,1.38,1.9
2023-09-18T03:57:00.000Z,1.703,1.53,1.94
2023-09-18T04:02:00.000Z,1.754,1.54,1.95
2023-09-18T04:07:00.000Z,1.822,1.66,2
2023-09-18T04:12:00.000Z,1.598,1.38,1.97
2023-09-18T04:17:00.000Z,1.686,1.54,1.85
2023-09-18T04:22:00.000Z,1.62,1.4,1.92
2023-09-18T04:27:00.000Z,1.668,1.39,1.91
2023-09-18T04:32:00.000Z,1.652,1.41,1.91
2023-09-18T02:37:00.000Z,1.706,1.4,2.02
2023-09-18T02:42:00.000Z,1.525,1.35,1.71
2023-09-18T02:47:00.000Z,1.54,1.44,1.62
2023-09-18T02:52:00.000Z,3.774,1.35,24.53
2023-09-18T02:57:00.000Z,1.543,1.4,1.73
2023-09-18T03:02:00.000Z,1.532,1.37,1.69
2023-09-18T03:07:00.000Z,1.545,1.41,1.66
2023-09-18T03:12:00.000Z,1.619,1.39,1.8
2023-09-18T03:17:00.000Z,1.681,1.49,2.09
2023-09-18T03:22:00.000Z,1.678,1.52,1.83
2023-09-18T03:27:00.000Z,1.665,1.5,1.85
2023-09-18T03:32:00.000Z,1.593,1.48,1.79
2023-09-18T01:37:00.000Z,1.634,1.47,1.91
2023-09-18T01:42:00.000Z,1.689,1.51,1.84
2023-09-18T01:47:00.000Z,1.726,1.48,2.02
2023-09-18T01:52:00.000Z,1.76,1.61,2.07
2023-09-18T01:57:00.000Z,1.704,1.38,1.89
2023-09-18T02:02:00.000Z,1.808,1.41,2.17
2023-09-18T02:07:00.000Z,1.692,1.45,1.84
2023-09-18T02:12:00.000Z,1.632,1.4,1.84
2023-09-18T02:17:00.000Z,1.597,1.36,1.96
2023-09-18T02:22:00.000Z,1.709,1.6,1.91
2023-09-18T02:27:00.000Z,1.599,1.43,1.86
2023-09-18T02:32:00.000Z,1.611,1.36,1.88
2023-09-18T00:36:00.000Z,1.569,1.4,1.9
2023-09-18T00:41:00.000Z,1.639,1.51,1.92
2023-09-18T00:46:00.000Z,1.574,1.39,1.95
2023-09-18T00:51:00.000Z,1.562,1.39,1.78
2023-09-18T00:57:00.000Z,1.621,1.46,1.83
2023-09-18T01:02:00.000Z,1.609,1.44,1.77
2023-09-18T01:07:00.000Z,1.555,1.39,1.75
2023-09-18T01:12:00.000Z,1.699,1.47,2.03
2023-09-18T01:17:00.000Z,1.605,1.47,1.74
2023-09-18T01:22:00.000Z,1.582,1.3,1.87
2023-09-18T01:27:00.000Z,1.671,1.56,1.82
2023-09-18T01:32:00.000Z,1.607,1.43,1.77
2023-09-17T23:36:00.000Z,1.626,1.44,1.79
2023-09-17T23:41:00.000Z,1.548,1.34,1.71
